Nazione,CodNazione,Anno,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),"Contraceptive prevalence, any method (% of married women ages 15-49)",Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,Net official development assistance and official aid received (current US$),"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Time required to start a business (days),"Total debt service (% of exports of goods, services and primary income)",Urban population growth (annual %)
France,FRA,2020,5.616,1.46,12.336,98.2,,,,,28.557,,1.83,19368829836,172530,2647926055110,-7.441,39200,49860,2650167887600,3370361819892,22.804,23.229,94.0,30.282,8.0,16.273,2.978,82,40.406,2.003,113,4.2,97.989,145593,,29983731185,123.459,0.325,67601110,0.1,,0.4,,,42.827,102.652,0.997,104.567,549087,24.655,36.168,,,0.654
France,FRA,2021,4.94,1.463,12.336,,,,,,31.288,,1.84,98012545019,173364,2966433692008,6.882,43800,54960,2971539484302,3728403071706,23.447,21.925,94.0,32.5,7.7,16.088,1.222,82,43.827,1.915,117,4.1,96.396,131465,,32646501628,123.901,0.357,67842811,0.1,15.6,0.3,,,42.531,102.58,,104.523,549087,23.906,36.393,,,0.686
France,FRA,2022,3.979,1.763,,,,,,,36.504,,1.794,109574904465,174198,2796302210399,2.571,45180,58530,3074984283604,3984079021927,24.189,22.983,95.0,39.286,,16.198,3.221,82,51.628,1.939,119,4.1,,179377,,33408248744,124.307,0.327,68065015,,,0.3,,,43.296,102.721,,104.256,549087,24.469,36.648,,,0.655
Germany,DEU,2014,7.895,0.915,29.26,96.9,,,7035.483,3779.462,41.684,,1.47,17356720098,114170,3965800686310,2.169,47630,47950,3857254836462,3883389666514,20.158,17.21,97.0,35.146,8.2,26.015,1.901,81,68.118,1.15,122,4.0,97.152,592338,,16266121336,232.108,0.417,80982500,0.0,,0.1,,99.488,27.95,102.622,0.965,103.304,357380,11.26,,14,,0.43
Germany,DEU,2015,8.115,0.709,27.882,97.1,,,,3817.549,42.604,,1.5,62418993509,114190,3423568450957,1.653,45830,48690,3743689242355,3977709151007,19.462,17.824,97.0,35.187,8.1,25.915,1.685,81,69.44,1.137,117,3.9,100.0,1175283,,14887806700,234.153,0.866,81686611,0.0,,0.1,,102.093,27.957,102.702,0.966,102.192,357410,11.257,,10,,0.879
Germany,DEU,2016,9.23,0.73,22.844,96.2,,,,,41.624,,1.6,58132711371,114190,3537784107981,2.295,44330,51830,3650161282573,4268495684340,19.735,18.083,97.0,34.361,8.0,26.216,1.256,81,67.547,1.151,126,3.9,102.301,517480,,15259414671,235.713,0.807,82348669,0.0,,0.1,0.5,99.698,27.86,101.406,0.964,100.852,357580,11.079,38.727,8,,0.838
Germany,DEU,2017,8.317,0.861,25.933,97.1,,,,,42.326,,1.57,108786501529,114190,3763092263753,2.716,43780,54340,3618812863747,4491247786268,20.513,15.851,97.0,35.241,8.0,26.118,1.468,81,69.387,1.153,133,3.9,100.234,452988,,17208421214,236.589,0.374,82657002,0.2,,0.1,,97.573,28.008,101.739,0.958,101.096,357580,11.2,38.787,8,,0.422
Germany,DEU,2018,7.665,0.743,25.16,96.2,,,,,42.607,,1.57,162250938126,114190,4052008447224,1.116,47540,57060,3941665383506,4730327637032,21.471,15.747,97.0,36.62,8.0,25.939,1.865,81,70.209,1.171,130,3.8,99.134,403908,,18653224755,237.294,0.301,82905782,0.0,,0.1,,98.588,28.385,102.645,0.961,100.837,357580,11.238,38.787,8,,0.367
Germany,DEU,2019,7.126,0.834,24.105,96.2,,,,,42.386,,1.54,75463438451,114190,3957208055216,0.988,49470,60430,4110488926154,5021458874670,21.3,16.387,97.0,36.747,7.9,25.631,2.016,81,68.821,1.262,129,3.7,100.199,319082,,18338278469,237.823,0.226,83092962,0.2,16.1,0.1,,99.633,28.667,102.547,0.965,101.153,357580,11.214,38.469,8,,0.308
Germany,DEU,2020,6.544,0.729,24.105,,,,,,39.169,,1.53,176781024357,114190,3940142541354,-4.095,48020,59560,3993539608655,4952942408140,21.667,15.503,97.0,33.824,7.8,25.377,1.755,81,64.828,1.374,129,3.7,101.898,203468,,18819700392,238.017,0.082,83160871,0.2,16.0,0.1,,98.383,28.574,101.997,0.97,101.308,357590,10.411,38.833,,,0.181
Germany,DEU,2021,6.241,0.742,24.105,,,,,,42.658,,1.58,102148693816,114190,4348297440388,3.67,52140,64330,4337833279228,5351636063192,22.461,15.385,97.0,37.499,,25.307,2.803,81,70.332,1.327,128,3.6,98.832,310264,,20270352311,238.118,0.042,83196078,,14.8,0.1,,100.974,28.62,101.347,,101.204,357590,11.023,38.542,,,0.16
